,Community,Size of Community
130,"['luminonce', 'favonim']",2
131,"['passeobaby', 'Tempebengukk']",2
132,"['SuryaSa45785975', 'mm']",2
133,"['tyasologi', 'physicistis']",2
134,"['kata97s', 'YOHOYOLOYOLO']",2
135,"['1Oyutaeil', 'milkymrrk']",2
136,"['haechands', 'laxrouge']",2
137,"['haechanana', 'asxasta']",2
138,"['Hexadominia', 'tzkzzhaf']",2
139,"['hwangbyunna', 'desicandrapram1']",2
140,"['ariessarach', 'cak_yayan']",2
141,"['koazallch', 'user_not_found']",2
142,"['ininmapengguna', 'kotaklema']",2
143,"['nickmachels', 'faizuddaroyin']",2
144,"['rifkimbot', 'aini9official']",2
145,"['plumecats', 'schnoogly_chonk']",2
146,"['Ubinnoona', 'radistidian']",2
147,"['OcuPidau', 'gamhibur']",2
148,"['DilaRosalina3', 'viohrnwn19']",2
149,"['pdi', 'Hesa_kumara']",2
150,"['nadendraa', 'dewpresi']",2
151,"['Mataminimalis1', 'triiiyaaa']",2
152,"['yangkamumauu', 'crustypoppins']",2
153,"['nabilaaw', 'nurfajrihadi']",2
154,"['hanif', 'masukptn_com']",2
155,"['leemarker916', 'dojaehyn']",2
156,"['pennceeng', 'worohesti_']",2
157,"['podcastretropus', 'rifpratomo']",2
158,"['KabarTifa', 'Rifsof1']",2
159,"['redmatchavelvet', 'otaltr']",2
160,"['BerburuSale', 'PritilanUnyu']",2
161,"['indomiesme', 'meliaasp']",2
162,"['masukOngin', 'fangurlycious']",2
163,"['c321231c', 'f']",2
164,"['syafirarizkan', 'lotparampa']",2
165,"['sambatngantiopo', 'yeniyenonk']",2
166,"['lajandaa', 'fathurizalhbllh']",2
167,"['Eajluyaa', 'PooTeletubbies4']",2
168,"['mhmmdikhsan04', 'Polibatam']",2
169,"['eldwiss', 'suqyarizaa']",2
170,"['hadeh021', 'ekaaabcd']",2
171,"['JannaPertiwi1', 'perpusdikbud']",2
172,"['validnewsid', 'putrimutiarapm']",2
173,"['indomyfess', 'yuzuruhy']",2
174,"['mawcrush', 'letmeguessing']",2
175,"['echanations', 'donghyuuc']",2
176,"['ifs_ifs2', 'ziagrzl']",2
177,"['fdlysr24', 'pokoknyaken']",2
178,"['Alif', 'muhtadi_ilham']",2
179,"['jgntktbljrmtk', 'AXISgsm']",2
180,"['YBRAP', 'bukantaikucing']",2
181,"['snowflukest', 'mooyorism']",2
182,"['frdchknx', 'rachanyun']",2
183,"['KediriFess', 'shandrav_']",2
184,"['paudpedia', 'user_not_found']",2
185,"['hasanah11_hana', 'astropholee']",2
186,"['Innerrchiildd', 'ailsamellyana_']",2
187,"['_alfiansantosa', 'ikhwan6690']",2
188,"['riseskyy', 'sensitiiveangel']",2
189,"['erythrocutee', 'ichbinED']",2
